iter	Passed	Remaining
401	16287	24229
402	16324	24182
403	16362	24138
404	16396	24089
405	16430	24038
406	16466	23991
407	16496	23936
408	16526	23880
409	16548	23813
410	16579	23760
411	16611	23707
412	16639	23650
413	16667	23592
414	16695	23535
415	16729	23486
416	16763	23437
417	16799	23390
418	16849	23364
419	16890	23324
420	16927	23280
421	16960	23230
422	16984	23167
423	17015	23115
424	17049	23066
425	17080	23014
426	17112	22963
427	17143	22912
428	17176	22861
429	17207	22810
430	17239	22758
431	17269	22706
432	17301	22656
433	17338	22611
434	17375	22568
435	17409	22519
436	17438	22466
437	17469	22415
438	17508	22374
439	17544	22329
440	17581	22285
441	17616	22240
442	17649	22191
443	17684	22145
444	17726	22108
445	17768	22071
446	17803	22025
447	17838	21979
448	17876	21937
449	17910	21890
450	17943	21842
451	17981	21800
452	18019	21758
453	18055	21714
454	18092	21671
455	18123	21621
456	18156	21573
457	18188	21524
458	18224	21480
459	18262	21439
460	18294	21389
461	18323	21337
462	18362	21297
463	18393	21247
464	18431	21205
465	18468	21162
466	18499	21114
467	18535	21069
468	18565	21020
469	18598	20972
470	18623	20917
471	18653	20866
472	18685	20819
473	18716	20770
474	18751	20725
475	18782	20676
476	18812	20626
477	18842	20576
478	18870	20525
479	18899	20474
480	18928	20423
481	18956	20372
482	18985	20321
483	19014	20271
484	19035	20212
485	19065	20164
486	19094	20113
487	19124	20065
488	19153	20015
489	19181	19964
490	19204	19908
491	19226	19851
492	19257	19804
493	19285	19754
494	19313	19704
495	19340	19652
496	19369	19603
497	19395	19551
498	19421	19499
499	19451	19451
500	19478	19400
501	19504	19349
502	19531	19298
503	19558	19248
504	19580	19193
505	19607	19142
506	19633	19091
507	19663	19044
508	19690	18994
509	19720	18946
510	19745	18895
511	19772	18845
512	19799	18796
513	19826	18746
514	19853	18696
515	19880	18647
516	19908	18599
517	19937	18552
518	19964	18502
519	19990	18453
520	20023	18408
521	20050	18360
522	20081	18315
523	20108	18266
524	20142	18224
525	20172	18177
526	20199	18129
527	20225	18080
528	20259	18038
529	20294	17996
530	20323	17950
531	20353	17905
532	20391	17866
533	20427	17826
534	20462	17784
535	20491	17738
536	20519	17691
537	20547	17644
538	20581	17602
539	20615	17561
540	20649	17519
541	20683	17478
542	20718	17437
543	20752	17395
544	20786	17353
545	20822	17313
546	20857	17273
547	20892	17232
